Sample_No,Sample,Lithology,Glass,Clay10A,Clay14A,Analcime,Chabazite,Clinoptilolite,Erionite,Mordenite,Phillipsite,K_feldspar,Calcite,Quartz,Opal,Plagioclase,Other,Reference,Study_Area
SL0001,2-CT,Tuff,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0002,2-CB,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0003,2-B,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0004,2-A,Tuff,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0005,3-D,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0006,3-C,Tuff,Absent,Trace,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0007,3-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Trace,4056,Barstow Formation
SL0008,3-B,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0009,6-A,Tuff,Absent,Trace,Trace,Absent,Absent,Trace,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0010,8-A,Tuff,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0011,13-A,Tuff,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0012,16-B,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0013,16-A,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0014,17-A,Tuff,Absent,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0015,18-B,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0016,18-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0017,19-SM-4-4A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0018,19-SM-4-4B,Tuff,Absent,Minor,Trace,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0019,19-SM-4-4C,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0020,21-A,Tuff,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Major,Absent,Absent,Absent,4056,Barstow Formation
SL0021,21-B,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0022,22-B,Tuff,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0023,22-A,Tuff,Absent,Trace,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0024,24-B,Tuff,Absent,Trace,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,4056,Barstow Formation
SL0025,24-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,4056,Barstow Formation
SL0026,26-C,Tuff,Absent,Trace,Minor,Minor,Absent,Minor,Trace,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Minor,4056,Barstow Formation
SL0027,26-B,Tuff,Absent,Absent,Trace,Trace,Absent,Minor,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0028,26-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Trace,4056,Barstow Formation
SL0029,33-A,Tuff,Absent,Absent,Absent,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0030,34-D,Tuff,Absent,Trace,Trace,Trace,Absent,Major,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0031,34-C,Tuff,Absent,Minor,Minor,Trace,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0032,34-B,Tuff,Absent,Minor,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,4056,Barstow Formation
SL0033,34-A,Tuff,Absent,Minor,Trace,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,4056,Barstow Formation
SL0034,36-C,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0035,36-B,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0036,36-A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0037,37-B,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0038,37-A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0039,38-C,Tuff,Absent,Absent,Minor,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0040,38-B,Tuff,Absent,Trace,Absent,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0041,39-B,Tuff,Absent,Absent,Trace,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0042,39-A,Tuff,Absent,Absent,Trace,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0043,42-SM-6-2D,Tuff,Absent,Trace,Minor,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0044,42-SM-6-2C,Tuff,Absent,Minor,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0045,42-SM-6-2B,Tuff,Absent,Trace,Trace,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0046,42-SM-6-2A,Tuff,Absent,Absent,Minor,Trace,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0047,43-A,Tuff,Absent,Trace,Minor,Minor,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0048,44-B,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0049,44-A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0050,45-B,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0051,45-A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0052,50-B,Tuff,Absent,Absent,Absent,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0053,50-A,Tuff,Absent,Absent,Minor,Minor,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0054,51-B,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0055,51-A,Tuff,Absent,Absent,Trace,Trace,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0056,52-A,Tuff,Absent,Absent,Trace,Trace,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0057,53-C,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,4056,Barstow Formation
SL0058,53-B,Tuff,Absent,Trace,Minor,Absent,Minor,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0059,53-A,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,4056,Barstow Formation
SL0060,54-A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0061,55-C,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0062,55-B,Tuff,Absent,Absent,Minor,Trace,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0063,55-A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0064,58-SM-1-8A,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Major,Absent,Absent,Absent,4056,Barstow Formation
SL0065,58-A,Tuff,Absent,Trace,Minor,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0066,58-XT,Tuff,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0067,58-XB,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0068,58-1-8C,Tuff,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0069,60-D,Tuff,Absent,Minor,Trace,Minor,Absent,Trace,Absent,Absent,Absent,Trace,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0070,60-C,Tuff,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Trace,4056,Barstow Formation
SL0071,60-A,Tuff,Absent,Minor,Absent,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0072,60-B,Tuff,Absent,Trace,Minor,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,4056,Barstow Formation
SL0073,60-E,Tuff,Absent,Absent,Trace,Minor,Absent,Trace,Absent,Absent,Absent,Trace,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0074,60-X,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0075,62-A,Tuff,Absent,Trace,Absent,Major,Absent,Trace,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Trace,4056,Barstow Formation
SL0076,62-X,Tuff,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0077,63-A,Tuff,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0078,65-SM-3-9F,Tuff,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0079,65-SM-3-9C,Tuff,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0080,65-SM-3-9B,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0081,65-SM-3-9A,Tuff,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0082,65-SM-3-9E,Tuff,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0083,66-A,Tuff,Absent,Trace,Minor,Absent,Absent,Trace,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0084,68-A,Tuff,Absent,Minor,Minor,Trace,Absent,Trace,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0085,69-B,Tuff,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Trace,4056,Barstow Formation
SL0086,69-A,Tuff,Absent,Minor,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0087,69-X,Tuff,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0088,69-C,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0089,70-C,Tuff,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0090,70-B,Tuff,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0091,70-A,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0092,95-A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0093,96-B,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0094,96-A,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0095,99-B,Tuff,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0096,99-A,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0097,100-A,Tuff,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0098,101-B,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0099,101-A,Tuff,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0100,103-C,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0101,103-B,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0102,103-A,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0103,SW-1-11,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Absent,Absent,Minor,Major,3723,Big Sandy Formation
SL0104,SW-1-9,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Absent,Absent,Minor,Absent,3723,Big Sandy Formation
SL0105,SW-1-7,Mudstone,Absent,Minor,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Trace,Trace,3723,Big Sandy Formation
SL0106,SW-1-5,Mudstone,Absent,Minor,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Absent,Absent,Minor,Trace,3723,Big Sandy Formation
SL0107,SW-1-3,Mudstone,Absent,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Absent,Absent,Minor,Trace,3723,Big Sandy Formation
SL0108,SW-1-1,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,3723,Big Sandy Formation
SL0109,SW-2-7,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Trace,3723,Big Sandy Formation
SL0110,SW-2-2,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,3723,Big Sandy Formation
SL0111,SW-3-15B,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,3723,Big Sandy Formation
SL0112,SW-3-15A,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Major,Absent,Minor,Absent,3723,Big Sandy Formation
SL0113,SW-3-14C,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0114,SW-3-12D,Mudstone,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Minor,Trace,3723,Big Sandy Formation
SL0115,SW-3-10A,Mudstone,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0116,SW-3-8,Mudstone,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0117,SW-3-1A,Mudstone,Absent,Minor,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0118,4-A,Mudstone,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0119,SW-13-10B,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0120,SW-13-10A,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Minor,Trace,3723,Big Sandy Formation
SL0121,SW-13-7B,Mudstone,Absent,Minor,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Trace,3723,Big Sandy Formation
SL0122,SW-13-7A,Mudstone,Absent,Minor,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0123,SW-13-1,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Trace,3723,Big Sandy Formation
SL0124,SW-26-10,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,3723,Big Sandy Formation
SL0125,SW-26-8,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Minor,Absent,3723,Big Sandy Formation
SL0126,SW-26-5,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Minor,Absent,Absent,Absent,3723,Big Sandy Formation
SL0127,SW-26-3,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Absent,Absent,Absent,Minor,3723,Big Sandy Formation
SL0128,SW-26-1,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,3723,Big Sandy Formation
SL0129,33-G,Mudstone,Absent,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,3723,Big Sandy Formation
SL0130,SW-34-5A,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0131,47-A,Mudstone,Absent,Minor,Minor,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Trace,Trace,Absent,Trace,Absent,3723,Big Sandy Formation
SL0132,52-A,Mudstone,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0133,80-A,Mudstone,Absent,Minor,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,3723,Big Sandy Formation
SL0134,82-A,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Trace,3723,Big Sandy Formation
SL0135,86-B,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,3723,Big Sandy Formation
SL0136,100-A,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0137,101-B,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0138,101-A,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Trace,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0139,SW-104-9,Mudstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0140,SW-104-8,Mudstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Minor,Absent,3723,Big Sandy Formation
SL0141,SW-104-6,Mudstone,Absent,Minor,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0142,SW-104-1,Mudstone,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0143,SW-3-5,Sandstone,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Minor,3723,Big Sandy Formation
SL0144,SW-3-1B,Sandstone,Absent,Minor,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Minor,3723,Big Sandy Formation
SL0145,7-A,Sandstone,Absent,Trace,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0146,SW-13-9,Sandstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Minor,3723,Big Sandy Formation
SL0147,SW-13-6,Sandstone,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0148,SW-26-6,Sandstone,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0149,29-A,Sandstone,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,3723,Big Sandy Formation
SL0150,SW-34-9,Sandstone,Absent,Trace,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0151,SW-34-5B,Sandstone,Absent,Trace,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0152,SW-34-3,Sandstone,Absent,Minor,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0153,SW-34-2A,Sandstone,Absent,Minor,Absent,Minor,Absent,Minor,Absent,Absent,Trace,Absent,Trace,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0154,36-C,Sandstone,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Trace,3723,Big Sandy Formation
SL0155,58-A,Sandstone,Absent,Trace,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Trace,3723,Big Sandy Formation
SL0156,66-A,Sandstone,Absent,Trace,Trace,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0157,SW-67-9C,Sandstone,Absent,Trace,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,3723,Big Sandy Formation
SL0158,SW-67-9B,Sandstone,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Major,Absent,Minor,Absent,3723,Big Sandy Formation
SL0159,SW-67-7,Sandstone,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Major,Absent,3723,Big Sandy Formation
